generation,individual,fitness,compression_ratio,integrity_check
14,4,30.72,1.002323,True
14,5,0.0,1.00289,False
14,6,30.72,1.002328,True
14,7,30.71,1.004152,True
14,8,0.0,1.002274,False
14,9,30.72,1.002328,True
14,10,0.0,1.004835,False
14,11,0.0,1.004152,False
14,12,0.0,1.002961,False
14,13,30.72,1.002323,True
14,14,30.71,1.004439,True
15,0,0.0,1.002328,False
15,1,0.0,1.002231,False
15,2,0,1.0,False
15,3,0.0,1.000721,False
15,4,0.0,1.002961,False
15,5,30.71,1.004152,True
15,6,0.0,1.002274,False
15,7,30.58,0.995648,True
15,8,30.73,1.002323,True
15,9,30.71,1.002231,True
15,10,0.0,1.00432,False
15,11,30.73,1.002323,True
15,12,30.72,1.002323,True
15,13,0.0,1.004477,False
15,14,0.0,1.002231,False
